        n    z      alpha(keV)
4170  102   70       7334.2 10
4171  109   70        -4.E+2 4
4172  108   70            0 AP
4173  107   70       2.4E+2 20
4174  107   70       2.4E+2 20
4175  106   70       8.47E+3 5
4176  106   70           566 4
4177  115   70            0 0
4178  114   70       -1.8E+3 7
4179  113   70       -1.3E+3 6
4180  102   71       1968.7 17
4181  101   71          2151 3
4182  101   71          2151 3
4183  104   71       5510.1 12
4184  103   71       1800.1 17
4185  103   71       1800.1 17
4186  103   71       1800.1 17
4187  106   71          1447 5
4188  106   71          1447 5
4189  106   71          1447 5
4190  106   71          1447 5
4191  105   71          1566 6
4192  105   71          1566 6
4193  105   71          1566 6
4194  108   71        8.3E+2 5
4195  108   71        8.3E+2 5
4196  107   71       1.10E+3 4
4197  107   71       1.10E+3 4
4198  109   71       2.7E+2 12
4199  111   71            0 AP
4200  110   71       3.5E+2 24
4201  100   71       2289.7 22
4202  100   71       2289.7 22
4203  113   71        -6.E+2 4
4204  112   71            0 AP
4205  115   71       -1.3E+3 6
4206  114   71        -9.E+2 6
4207  117   71            0 0
4208  117   71            0 0
4209  116   71            0 0
4210  116   71            0 0
4211   87   71          4790 5
4212   87   71          4790 5
4213   86   71          5108 3
4214   86   71          5108 3
4215   86   71          5108 3
4216   89   71       4.14E+3 6
4217   89   71       4.14E+3 6
4218   89   71       4.14E+3 6
4219   89   71       4.14E+3 6
4220   88   71       4.49E+3 4
4221   88   71       4.49E+3 4
4222   83   71        4.4E+3 3
4223   83   71        4.4E+3 3
4224   82   71      3.14E+3 25
4225   82   71      3.14E+3 25
4226   85   71          5596 3
4227   85   71          5596 3
4228   85   71          5596 3
4229   84   71       5801.6 22
4230   84   71       5801.6 22
4231   84   71       5801.6 22
4232   84   71       5801.6 22
4233   84   71       5801.6 22
4234   81   71      2.92E+3 20
4235   81   71      2.92E+3 20
4236   80   71        3.2E+3 3
4237   80   71        3.2E+3 3
4238   98   71          2423 3
4239   98   71          2423 3
4240   97   71       2.41E+3 5
4241   97   71       2.41E+3 5
4242   97   71       2.41E+3 5
4243   99   71         2155 20
4244   99   71         2155 20
4245   94   71       3.03E+3 4
4246   93   71       3.23E+3 4
4247   96   71       2.78E+3 4
4248   96   71       2.78E+3 4
4249   96   71       2.78E+3 4
4250   95   71       3.03E+3 4
4251   95   71       3.03E+3 4
4252   95   71       3.03E+3 4
4253   95   71       3.03E+3 4
4254   95   71       3.03E+3 4
4255   90   71       3.72E+3 4
4256   90   71       3.72E+3 4
4257   92   71       3.35E+3 4
4258   91   71       3.45E+3 8
4259   91   71       3.45E+3 8
4260   91   71       3.45E+3 8
4261   79   71        3.9E+3 4
4262   79   71        3.9E+3 4
4263   89   72       4.68E+3 3
4264   89   72       4.68E+3 3
4265   87   72          5225 3
4266   87   72          5225 3
4267   88   72          4902 3
4268   88   72          4902 3
4269   85   72          5880 3
4270   85   72          5880 3
4271   86   72          5405 3
4272   86   72          5405 3
4273   83   72        4.8E+3 4
4274   84   72          6026 3
4275   84   72          6026 3
4276   81   72        3.6E+3 4
4277   82   72        3.7E+3 4
4278   82   72        3.7E+3 4
4279   98   72       2.91E+3 3
4280   99   72       2.73E+3 3
4281   99   72       2.73E+3 3
4282   99   72       2.73E+3 3
4283   96   72       3.23E+3 3
4284   97   72       3.15E+3 4
4285   94   72       3.54E+3 3
4286   95   72       3.40E+3 3
4287   92   72         3920 17
4288   93   72       3.77E+3 3
4289   90   72          4416 5
4290   90   72          4416 5
4291   91   72       4.14E+3 3
4292   91   72       4.14E+3 3
4293  109   72       1158.5 14
4294  109   72       1158.5 14
4295  108   72          8009 5
4296  108   72       1286.9 14
4297  108   72       1286.9 14
4298  107   72       7414.1 21
4299  107   72       1807.6 14
4300  107   72       1807.6 14
4301  106   72        7340.4 8
4302  106   72       2084.2 14
4303  106   72       2084.2 14
4304  105   72        6787.4 8
4305  105   72       2245.6 14
4306  105   72       2245.6 14
4307  104   72        6699.7 9
4308  103   72       2400.1 23
4309  102   72       2494.4 23
4310  101   72       2.54E+3 3
4311  100   72         2753 24
4312  110   72          1203 9
4313  110   72          1203 9
4314  110   72          1203 9
4315  118   72            0 0
4316  117   72       -1.1E+3 6
4317  116   72        -7.E+2 6
4318  115   72        -4.E+2 4
4319  114   72            0 AP
4320  113   72         3.E+2 3
4321  112   72         8.E+2 3
4322  112   72         8.E+2 3
4323  111   72       9.3E+2 20
4324  111   72       9.3E+2 20
4325   88   73         5236 24
4326   88   73         5236 24
4327   88   73         5236 24
4328   88   73         5236 24
4329   89   73       5.01E+3 6
4330   89   73       5.01E+3 6
4331   86   73          5681 6
4332   86   73          5681 6
4333   86   73          5681 6
4334   86   73          5681 6
4335   87   73          5451 5
4336   87   73          5451 5
4337   87   73        2.6E+2 6
4338   84   73          6355 6
4339   84   73          6355 6
4340   84   73          6355 6
4341   84   73          6355 6
4342   85   73          6124 4
4343   85   73          6124 4
4344   85   73          6124 4
4345   85   73          6124 4
4346   82   73        3.9E+3 4
4347   83   73        5.0E+3 4
4348   83   73        5.0E+3 4
4349   83   73        5.0E+3 4
4350   83   73        5.0E+3 4
4351   99   73       3.32E+3 5
4352   97   73       3.46E+3 4
4353   98   73       3.38E+3 5
4354   95   73       3.82E+3 4
4355   96   73       3.73E+3 4
4356   93   73       4.31E+3 8
4357   94   73       4.02E+3 4
4358   91   73       4.56E+3 6
4359   92   73       4.29E+3 3
4360   90   73          4749 5
4361   90   73          4749 5
4362  108   73       5948.6 19
4363  107   73       2023.8 23
4364  107   73       2023.8 23
4365  107   73       2023.8 23
4366  107   73       2023.8 23
4367  107   73       2023.8 23
4368  109   73          1482 3
4369  109   73          1482 3
4370  109   73          1482 3
4371  104   73          2741 3
4372  103   73       2.95E+3 3
4373  106   73        2383.3 9
4374  106   73        2383.3 9
4375  106   73        2383.3 9
4376  105   73       2.55E+3 5
4377  105   73       2.55E+3 5
4378  105   73       2.55E+3 5
4379  105   73       2.55E+3 5
4380  100   73       3.26E+3 3
4381  102   73       2.99E+3 3
4382  101   73       3.14E+3 3
4383  121   73            0 0
4384  121   73            0 0
4385  120   73            0 0
4386  120   73            0 0
4387  119   73       -1.7E+3 6
4388  118   73       -1.2E+3 5
4389  115   73            0 AP
4390  114   73       4.0E+2 10
4391  114   73       4.0E+2 10
4392  114   73       4.0E+2 10
4393  114   73       4.0E+2 10
4394  114   73       4.0E+2 10
4395  117   73        -8.E+2 4
4396  116   73        -4.E+2 4
4397  111   73       1.41E+3 8
4398  110   73          1341 5
4399  113   73       7.4E+2 21
4400  113   73       7.4E+2 21
4401  112   73       9.8E+2 13
4402  112   73       7.18E+3 4
4403  117   74      -6.0E+2 21
4404  118   74       -1.2E+3 4
4405  119   74       -1.5E+3 4
4406  113   74        9.5E+2 3
4407  114   74        4.1E+2 4
4408  115   74            0 AP
4409  116   74       -3.7E+2 6
4410  116   74       -3.7E+2 6
4411  110   74       7700.9 15
4412  111   74       1590.2 16
4413  111   74       1590.2 16
4414  112   74          1116 6
4415  112   74          1116 6
4416  120   74       -2.0E+3 5
4417  121   74            0 0
4418  122   74            0 0
4419  123   74            0 0
4420  106   74       2515.3 10
4421  106   74       2515.3 10
4422  107   74        2221.9 4
4423  108   74       7096.1 15
4424  109   74       1672.5 16
4425  109   74       1672.5 16
4426  102   74       3.34E+3 4
4427  103   74       3.29E+3 4
4428  104   74         3013 15
4429  105   74         2762 15
4430  105   74         2762 15
4431  105   74         2762 15
4432  100   74       3.60E+3 4
4433  101   74       3.37E+3 4
4434   89   74       5.52E+3 6
4435   89   74       5.52E+3 6
4436   88   74       5678.3 24
4437   88   74       5678.3 24
4438   87   74          5923 4
4439   87   74          5923 4
4440   86   74          6066 5
4441   85   74          6451 4
4442   85   74          6451 4
4443   84   74          6612 3
4444   84   74          6612 3
4445   84   74          6612 3
4446   83   74        5.2E+3 5
4447   99   74       3.56E+3 4
4448   98   74       3.84E+3 4
4449   97   74       3.96E+3 4
4450   96   74       4.14E+3 3
4451   95   74       4.29E+3 3
4452   94   74         4501 11
4453   94   74         4501 11
4454   93   74       4.75E+3 3
4455   93   74       4.75E+3 3
4456   92   74          4856 4
4457   92   74          4856 4
4458   91   74       5.03E+3 3
4459   91   74       5.03E+3 3
4460   90   74       5278.3 20
4461   90   74       5278.3 20
4462  118   75      -7.0E+2 20
4463  119   75       -1.0E+3 3
4464  119   75       -1.0E+3 3
4465  119   75       -1.0E+3 3
4466  116   75        1.2E+2 6
4467  117   75            0 AP
4468  110   75        5402.6 7
4469  111   75       2078.4 16
4470  111   75       2078.4 16
4471  111   75       2078.4 16
4472  114   75          990 16
4473  115   75        6.0E+2 6
4474  115   75        6.0E+2 6
4475  115   75        6.0E+2 6
4476  112   75       1652.1 17
4477  112   75       1652.1 17
4478  113   75       1.40E+3 3
4479  113   75       1.40E+3 3
4480  121   75       -1.7E+3 5
4481  122   75       -2.0E+3 5
4482  120   75       -1.5E+3 4
4483  123   75       -2.3E+3 6
4484  123   75       -2.3E+3 6
4485  124   75            0 0
4486  124   75            0 0
4487  107   75      2.73E+3 12
4488  107   75      2.73E+3 12
4489  108   75          2123 8
4490  108   75          2123 8
4491  108   75          2123 8
4492  108   75          2123 8
4493  105   75       3.10E+3 4
4494  106   75         2772 13
4495  109   75          2289 5
4496  109   75          2289 5
4497  109   75          2289 5
4498  100   75       4.01E+3 4
4499  103   75       3.66E+3 4
4500  104   75       3.40E+3 4
4501  104   75       3.40E+3 4
4502  101   75       3.84E+3 4
4503  102   75       3.70E+3 4
4504   89   75          5926 5
4505   89   75          5926 5
4506   89   75          5926 5
4507   89   75          5926 5
4508   88   75          6012 8
4509   88   75          6012 8
4510   88   75          6012 8
4511   88   75          6012 8
4512   87   75          6240 5
4513   87   75          6240 5
4514   87   75          6240 5
4515   87   75          6240 5
4516   86   75          6328 7
4517   86   75          6328 7
4518   86   75          6328 7
4519   86   75          6328 7
4520   85   75          6698 4
4521   85   75          6698 4
4522   84   75      -1.60E+3 5
4523   99   75       4.04E+3 4
4524   98   75       4.31E+3 4
4525   97   75       4.40E+3 5
4526   97   75       4.40E+3 5
4527   96   75       4.68E+3 4
4528   95   75       4.77E+3 3
4529   94   75         5014 13
4530   94   75         5014 13
4531   94   75         5014 13
4532   94   75         5014 13
4533   94   75         5014 13
4534   93   75         5063 13
4535   93   75         5063 13
4536   92   75         5276 13
4537   92   75         5276 13
4538   92   75         5276 13
4539   91   75       5.52E+3 6
4540   91   75       5.52E+3 6
4541   90   75          5694 6
4542   90   75          5694 6
4543   90   75          5694 6
4544   90   75          5694 6
4545   90   76          6143 3
4546   90   76          6143 3
4547   91   76       5.98E+3 6
4548   91   76       5.98E+3 6
4549   92   76          5816 3
4550   92   76          5816 3
4551   93   76          5713 3
4552   93   76          5713 3
4553   94   76          5537 3
4554   94   76          5537 3
4555   95   76          5371 4
4556   95   76          5371 4
4557   96   76          5224 7
4558   96   76          5224 7
4559   97   76          5055 6
4560   97   76          5055 6
4561   98   76         4871 10
4562   98   76         4871 10
4563   99   76       4.56E+3 3
4564   85   76         7069 11
4565   86   76          6768 3
4566   87   76          6673 7
4567   87   76          6673 7
4568   88   76          6479 5
4569   88   76          6479 5
4570   89   76          6335 6
4571   89   76          6335 6
4572  126   76            0 0
4573  127   76            0 0
4574  127   76            0 0
4575  120   76     -1.08E+3 20
4576  121   76       -1.3E+3 3
4577  122   76       -1.6E+3 4
4578  123   76       -2.0E+3 4
4579  124   76       -2.2E+3 5
4580  125   76       -2.4E+3 5
4581  115   76       1083.9 12
4582  115   76       1083.9 12
4583  116   76         8821 10
4584  116   76           361 4
4585  116   76           361 4
4586  117   76            0 AP
4587  118   76       -4.9E+2 4
4588  119   76       -7.6E+2 7
4589  110   76        2821.2 9
4590  111   76        6580.7 9
4591  112   76      7209.72 15
4592  113   76        7258.9 5
4593  113   76        1976.2 9
4594  114   76          8018 8
4595  114   76       1375.9 12
4596  104   76       3.86E+3 3
4597  105   76       3.73E+3 4
4598  105   76       3.73E+3 4
4599  105   76       3.73E+3 4
4600  106   76       3.37E+3 3
4601  106   76       3.37E+3 3
4602  107   76       3.21E+3 5
4603  107   76       3.21E+3 5
4604  107   76       3.21E+3 5
4605  107   76       3.21E+3 5
4606  108   76       2958.8 16
4607  109   76       3003.1 16
4608  100   76       4.54E+3 3
4609  101   76       4.35E+3 3
4610  102   76       4.26E+3 3
4611  102   76       4.26E+3 3
4612  103   76       4.19E+3 3
4613  123   77       -1.6E+3 4
4614  124   77       -1.9E+3 4
4615  121   77        -9.E+2 3
4616  122   77       -1.3E+3 3
4617  120   77       -4.6E+2 4
4618  120   77       -4.6E+2 4
4619  120   77       -4.6E+2 4
4620  127   77            0 0
4621  127   77            0 0
4622  128   77            0 0
4623  128   77            0 0
4624  125   77       -2.1E+3 5
4625  126   77       -2.1E+3 6
4626  112   77         2944 13
4627  112   77         2944 13
4628  112   77         2944 13
4629  113   77       2748.8 15
4630  113   77       2748.8 15
4631  113   77       2748.8 15
4632  113   77       2748.8 15
4633  110   77       3.84E+3 3
4634  110   77       3.84E+3 3
4635  111   77         3450 10
4636  111   77         3450 10
4637  111   77         3450 10
4638  118   77          233 10
4639  118   77          233 10
4640  118   77          233 10
4641  119   77       -2.7E+2 8
4642  119   77       -2.7E+2 8
4643  119   77       -2.7E+2 8
4644  116   77       5943.0 24
4645  116   77          1018 8
4646  117   77           626 5
4647  117   77           626 5
4648  117   77           626 5
4649  114   77       5290.0 11
4650  114   77       2082.8 12
4651  114   77       2082.8 12
4652  115   77       1756.3 12
4653  115   77       1756.3 12
4654  115   77       1756.3 12
4655  115   77       1756.3 12
4656  115   77       1756.3 12
4657  101   77       4.99E+3 3
