n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
104 65 -2200.0 3.0 -1
107 65 -2900.0 6.0 -1
107 65 -2900.0 6.0 -1
106 65 -2400.0 6.0 -1
106 65 -2400.0 6.0 -1
80 65 1100.0 11.0 30.9
80 65 1100.0 11.0 30.9
82 65 1074.0 14.0 5904.0
82 65 1074.0 14.0 5904.0
81 65 1120.0 5.0 8.0
81 65 1120.0 5.0 8.0
81 65 1120.0 5.0 8.0
84 65 4078.0 22.0 14824.800000000001
84 65 4078.0 22.0 14824.800000000001
84 65 4078.0 22.0 14824.800000000001
84 65 4078.0 22.0 14824.800000000001
83 65 2657.0 16.0 3600.0
83 65 2657.0 16.0 3600.0
86 65 3496.0 4.0 63392.40000000001
86 65 3496.0 4.0 63392.40000000001
86 65 3496.0 4.0 63392.40000000001
86 65 3496.0 4.0 63392.40000000001
85 65 3587.0 5.0 12528.0
85 65 3587.0 5.0 12528.0
85 65 3587.0 5.0 12528.0
88 65 2703.0 5.0 202176.0
87 65 3160.0 4.0 63000.0
87 65 3160.0 4.0 63000.0
87 65 3160.0 4.0 63000.0
87 65 3160.0 4.0 63000.0
89 65 2210.0 5.0 77400.0
89 65 2210.0 5.0 77400.0
89 65 2210.0 5.0 77400.0
89 65 2210.0 5.0 77400.0
89 65 2210.0 5.0 77400.0
89 65 2210.0 5.0 77400.0
89 65 2210.0 5.0 77400.0
91 65 373.0 4.0 462239.99999999994
91 65 373.0 4.0 462239.99999999994
91 65 373.0 4.0 462239.99999999994
91 65 373.0 4.0 462239.99999999994
90 65 978.0 10.0 459648.0
93 65 -157.4 12.0 5680368000.0
93 65 -157.4 12.0 5680368000.0
93 65 -157.4 12.0 5680368000.0
93 65 -157.4 12.0 5680368000.0
93 65 -157.4 12.0 5680368000.0
93 65 -157.4 12.0 5680368000.0
92 65 178.7 8.0 2240589600.0
95 65 -179.0 3.0 6246720.0
94 65 6131.6 7.0 -1.0
97 65 -1034.0 3.0 456.0
96 65 -428.0 4.0 595296.0
99 65 -1036.5 21.0 180.0
98 65 -977.0 6.0 1170.0
71 65 3900.0 6.0 -1
70 65 4000.0 6.0 0.00094
73 65 3800.0 4.0 2.0000000000000002e-07
73 65 3800.0 4.0 2.0000000000000002e-07
72 65 3800.0 5.0 -1
72 65 3800.0 5.0 -1
75 65 3300.0 8.0 2.0
75 65 3300.0 8.0 2.0
74 65 3600.0 4.0 1.6
74 65 3600.0 4.0 1.6
77 65 2800.0 7.0 0.597
77 65 2800.0 7.0 0.597
77 65 2800.0 7.0 0.597
76 65 3180.0 11.0 3.5
76 65 3180.0 11.0 3.5
79 65 2190.0 6.0 1.0
79 65 2190.0 6.0 1.0
79 65 2190.0 6.0 1.0
78 65 2550.0 5.0 12.0
78 65 2550.0 5.0 12.0
72 66 4200.0 6.0 -1
75 66 3400.0 4.0 0.9
75 66 3400.0 4.0 0.9
76 66 3100.0 8.0 2.3
76 66 3100.0 8.0 2.3
73 66 4100.0 6.0 0.6
73 66 4100.0 6.0 0.6
74 66 3800.0 5.0 -1
79 66 2557.0 21.0 6.0
79 66 2557.0 21.0 6.0
79 66 2557.0 21.0 6.0
79 66 2557.0 21.0 6.0
77 66 3040.0 20.0 5.6
77 66 3040.0 20.0 5.6
77 66 3040.0 20.0 5.6
77 66 3040.0 20.0 5.6
78 66 2790.0 3.0 9.1
78 66 2790.0 3.0 9.1
82 66 1480.0 3.0 198.0
83 66 2808.0 22.0 252.0
83 66 2808.0 22.0 252.0
83 66 2808.0 22.0 252.0
80 66 1980.0 3.0 33.2
80 66 1980.0 3.0 33.2
81 66 1610.0 20.0 67.0
81 66 1610.0 20.0 67.0
81 66 1610.0 20.0 67.0
81 66 1610.0 20.0 67.0
86 66 3727.0 4.0 8568.0
86 66 3727.0 4.0 8568.0
87 66 3559.0 4.0 23040.0
87 66 3559.0 4.0 23040.0
84 66 4351.3 15.0 430.2
84 66 4351.3 15.0 430.2
85 66 4180.0 3.0 1074.0
85 66 4180.0 3.0 1074.0
88 66 2945.0 5.0 94672800000000.0
89 66 2608.0 10.0 35640.0
90 66 6568.0 10.0 -1.0
93 66 478.2 13.0 12476160.0
94 66 7428.8 11.0 -1.0
91 66 1033.0 5.0 29304.000000000004
91 66 1033.0 5.0 29304.000000000004
92 66 6932.3 24.0 -1.0
97 66 7790.3 22.0 -1.0
98 66 8661.0 4.0 -1.0
95 66 7508.0 11.0 -1.0
96 66 8008.4 12.0 -1.0
99 66 -531.1 15.0 8402.4
99 66 -531.1 15.0 8402.4
99 66 -531.1 15.0 8402.4
110 66 0.0 0.0 -1
102 66 -1290.0 14.0 522.0
101 66 -948.0 4.0 372.0
100 66 -729.0 4.0 293760.0
106 66 -2000.0 4.0 -1
105 66 -1660.0 20.0 -1
104 66 -1760.0 20.0 -1
104 66 -1760.0 20.0 -1
103 66 -1500.0 3.0 39.0
109 66 12000.0 7.0 -1
108 66 11900.0 7.0 -1
107 66 -2300.0 6.0 -1
73 67 4200.0 7.0 0.006
76 67 3700.0 4.0 -1
76 67 3700.0 4.0 -1
77 67 3400.0 8.0 0.7
77 67 3400.0 8.0 0.7
74 67 4200.0 6.0 0.0040999999999999995
75 67 3900.0 5.0 0.4
75 67 3900.0 5.0 0.4
78 67 3000.0 11.0 2.4
79 67 2900.0 7.0 3.32
80 67 2240.0 5.0 5.8
83 67 3390.0 5.0 72.0
83 67 3390.0 5.0 72.0
83 67 3390.0 5.0 72.0
84 67 4695.0 18.0 35.2
84 67 4695.0 18.0 35.2
84 67 4695.0 18.0 35.2
84 67 4695.0 18.0 35.2
81 67 1950.0 9.0 2.2
81 67 1950.0 9.0 2.2
81 67 1950.0 9.0 2.2
81 67 1950.0 9.0 2.2
82 67 2330.0 11.0 21.1
82 67 2330.0 11.0 21.1
87 67 4041.0 4.0 705.6
87 67 4041.0 4.0 705.6
87 67 4041.0 4.0 705.6
87 67 4041.0 4.0 705.6
88 67 3159.0 18.0 2880.0
88 67 3159.0 18.0 2880.0
85 67 4507.4 13.0 161.8
85 67 4507.4 13.0 161.8
85 67 4507.4 13.0 161.8
85 67 4507.4 13.0 161.8
86 67 4052.0 4.0 120.6
86 67 4052.0 4.0 120.6
86 67 4052.0 4.0 120.6
86 67 4052.0 4.0 120.6
89 67 2750.0 6.0 3360.0
89 67 2750.0 6.0 3360.0
89 67 2750.0 6.0 3360.0
89 67 2750.0 6.0 3360.0
90 67 2056.0 24.0 756.0
91 67 1540.0 5.0 678.0
91 67 1540.0 5.0 678.0
91 67 1540.0 5.0 678.0
91 67 1540.0 5.0 678.0
91 67 1540.0 5.0 678.0
94 67 1142.6 23.0 8928.0
94 67 1142.6 23.0 8928.0
95 67 1005.0 3.0 900.0
95 67 1005.0 3.0 900.0
95 67 1005.0 3.0 900.0
92 67 1496.0 10.0 1982.9999999999998
92 67 1496.0 10.0 1982.9999999999998
93 67 1284.0 15.0 1536.0
93 67 1284.0 15.0 1536.0
93 67 1284.0 15.0 1536.0
93 67 1284.0 15.0 1536.0
98 67 6219.3 7.0 -1.0
99 67 384.3 22.0 96566.40000000001
99 67 384.3 22.0 96566.40000000001
96 67 729.6 11.0 144218232000.0
96 67 729.6 11.0 144218232000.0
97 67 431.0 17.0 1740.0
97 67 431.0 17.0 1740.0
97 67 431.0 17.0 1740.0
101 67 -380.0 3.0 179.4
101 67 -380.0 3.0 179.4
101 67 -380.0 3.0 179.4
100 67 -109.0 7.0 10810.800000000001
103 67 -850.0 5.0 165.6
103 67 -850.0 5.0 165.6
102 67 -632.0 20.0 283.2
105 67 -1130.0 20.0 25.0
104 67 -1100.0 6.0 53.0
107 67 -1600.0 4.0 -1
106 67 -1300.0 4.0 -1
109 67 -2100.0 7.0 -1
108 67 -2000.0 6.0 -1
110 67 10000.0 7.0 -1
111 67 0.0 0.0 -1
108 68 -1300.0 5.0 -1
107 68 -1100.0 4.0 72.0
106 68 -700.0 4.0 192.0
105 68 -500.0 4.0 84.0
104 68 -350.0 14.0 177480.0
103 68 -231.0 4.0 27057.6
102 68 8600.0 20.0 -1.0
101 68 266.2 7.0 811468.7999999999
100 68 7999.0 5.0 -1.0
109 68 -1500.0 6.0 -1
112 68 0.0 0.0 -1
111 68 11200.0 7.0 -1
110 68 -1600.0 8.0 -1
74 68 900.0 6.0 -1
78 68 3400.0 7.0 1.7
78 68 3400.0 7.0 1.7
77 68 3700.0 4.0 1.0
77 68 3700.0 4.0 1.0
77 68 3700.0 4.0 1.0
76 68 3800.0 4.0 2.0000000000000002e-07
75 68 4100.0 6.0 -1
79 68 3140.0 4.0 2.5
79 68 3140.0 4.0 2.5
79 68 3140.0 4.0 2.5
79 68 3140.0 4.0 2.5
81 68 2080.0 3.0 4.0
81 68 2080.0 3.0 4.0
81 68 2080.0 3.0 4.0
81 68 2080.0 3.0 4.0
81 68 2080.0 3.0 4.0
80 68 2666.0 13.0 4.6
85 68 4802.4 14.0 37.1
85 68 4802.4 14.0 37.1
84 68 4934.3 16.0 10.3
84 68 4934.3 16.0 10.3
83 68 3505.0 19.0 23.5
83 68 3505.0 19.0 23.5
83 68 3505.0 19.0 23.5
82 68 2299.0 18.0 18.5
89 68 3300.0 3.0 1119.0
89 68 3300.0 3.0 1119.0
88 68 3480.0 3.0 1170.0
88 68 3480.0 3.0 1170.0
87 68 4118.0 5.0 318.0
87 68 4118.0 5.0 318.0
86 68 4280.0 3.0 223.8
86 68 4280.0 3.0 223.8
92 68 2040.0 24.0 102888.0
91 68 2170.0 10.0 2160.0
90 68 2670.0 3.0 8244.0
96 68 6853.52 13.0 -1.0
95 68 1575.0 5.0 4500.0
94 68 6426.9 22.0 -1.0
93 68 1798.0 10.0 11556.0
99 68 7507.9 8.0 -1.0
99 68 666.7 7.0 -1.0
98 68 7315.1 8.0 -1.0
97 68 1109.2 6.0 37296.0
75 69 4700.0 6.0 1.8999999999999998e-06
79 69 3420.0 13.0 0.7
78 69 3600.0 3.0 0.58
78 69 3600.0 3.0 0.58
78 69 3600.0 3.0 0.58
77 69 3800.0 4.0 0.068
77 69 3800.0 4.0 0.068
77 69 3800.0 4.0 0.068
77 69 3800.0 4.0 0.068
76 69 4400.0 4.0 3.1699999999999997e-06
82 69 2561.0 20.0 4.17
82 69 2561.0 20.0 4.17
81 69 2320.0 20.0 2.2
81 69 2320.0 20.0 2.2
80 69 2760.0 20.0 0.9
80 69 2760.0 20.0 0.9
86 69 4572.0 5.0 21.6
86 69 4572.0 5.0 21.6
86 69 4572.0 5.0 21.6
86 69 4572.0 5.0 21.6
85 69 5094.0 3.0 8.1
85 69 5094.0 3.0 8.1
85 69 5094.0 3.0 8.1
85 69 5094.0 3.0 8.1
85 69 5094.0 3.0 8.1
84 69 5248.3 15.0 1.48
84 69 5248.3 15.0 1.48
84 69 5248.3 15.0 1.48
84 69 5248.3 15.0 1.48
83 69 3850.0 10.0 8.0
83 69 3850.0 10.0 8.0
89 69 3510.0 3.0 238.8
89 69 3510.0 3.0 238.8
88 69 3880.0 3.0 217.79999999999998
87 69 4345.0 7.0 83.8
87 69 4345.0 7.0 83.8
93 69 2280.0 4.0 1302.0
93 69 2280.0 4.0 1302.0
93 69 2280.0 4.0 1302.0
92 69 2510.0 4.0 1812.0
91 69 2810.0 5.0 564.0
91 69 2810.0 5.0 564.0
91 69 2810.0 5.0 564.0
90 69 3040.0 3.0 547.8000000000001
97 69 1729.0 12.0 27720.0
97 69 1729.0 12.0 27720.0
96 69 1841.0 3.0 108216.0
95 69 2050.0 3.0 120.0
95 69 2050.0 3.0 120.0
95 69 2050.0 3.0 120.0
94 69 2176.0 6.0 6516.0
99 69 1243.2 21.0 8043839.999999999
99 69 1243.2 21.0 8043839.999999999
98 69 1410.0 14.0 799200.0
109 69 -800.0 4.0 -1
108 69 -600.0 4.0 90.0
105 69 0.0 nan 324.0
105 69 0.0 nan 324.0
105 69 0.0 nan 324.0
104 69 115.0 21.0 29664.0
107 69 -310.0 22.0 114.0
106 69 0.0 nan 912.0
101 69 850.1 10.0 11111040.0
101 69 850.1 10.0 11111040.0
100 69 5574.4 8.0 -1.0
103 69 260.0 3.0 228960.0
102 69 644.0 5.0 60590592.0
112 69 -1600.0 7.0 -1
111 69 -1200.0 6.0 -1
113 69 0.0 0.0 -1
110 69 -1000.0 6.0 -1
79 70 3500.0 4.0 0.7
79 70 3500.0 4.0 0.7
78 70 4000.0 4.0 -1
89 70 3951.0 18.0 100.19999999999999
86 70 4810.0 4.0 26.1
86 70 4810.0 4.0 26.1
85 70 5338.8 21.0 1.793
85 70 5338.8 21.0 1.793
88 70 4170.0 7.0 89.4
88 70 4170.0 7.0 89.4
87 70 4622.0 6.0 38.6
87 70 4622.0 6.0 38.6
82 70 2780.0 15.0 3.03
82 70 2780.0 15.0 3.03
81 70 2600.0 3.0 1.6
81 70 2600.0 3.0 1.6
81 70 2600.0 3.0 1.6
81 70 2600.0 3.0 1.6
81 70 2600.0 3.0 1.6
84 70 5474.3 17.0 0.409
84 70 5474.3 17.0 0.409
83 70 4160.0 20.0 4.2
83 70 4160.0 20.0 4.2
83 70 4160.0 20.0 4.2
80 70 3100.0 3.0 2.0000000000000002e-07
97 70 2153.0 6.0 1050.0
96 70 2316.0 7.0 204120.0
99 70 1720.9 9.0 2766355.2
99 70 1720.9 9.0 2766355.2
98 70 6325.7 13.0 -1.0
93 70 2842.0 16.0 663.0
92 70 3060.0 3.0 1132.2
95 70 2480.0 3.0 594.0
94 70 2630.0 3.0 4548.0
91 70 3150.0 3.0 252.0
90 70 3620.0 3.0 288.0
101 70 6800.5 7.0 -1.0
101 70 1557.5 3.0 -1.0
100 70 6778.2 7.0 -1.0
112 70 -1100.0 7.0 -1
111 70 -700.0 6.0 -1
110 70 -500.0 5.0 144.0
105 70 597.3 14.0 361583.99999999994
105 70 597.3 14.0 361583.99999999994
104 70 7977.0 4.0 -1.0
103 70 7467.0 5.0 -1.0
102 70 7334.2 10.0 -1.0
109 70 -400.0 4.0 480.0
108 70 0.0 nan 4440.0
107 70 240.0 20.0 6879.6
107 70 240.0 20.0 6879.6
106 70 8470.0 5.0 -1.0
106 70 566.0 4.0 -1.0
115 70 0.0 0.0 -1
114 70 -1800.0 7.0 -1
113 70 -1300.0 6.0 -1
102 71 1968.7 17.0 43233912.0
101 71 2151.0 3.0 578880.0
101 71 2151.0 3.0 578880.0
104 71 5510.1 12.0 -1.0
103 71 1800.1 17.0 104455656.0
103 71 1800.1 17.0 104455656.0
103 71 1800.1 17.0 104455656.0
106 71 1447.0 5.0 574300.8
106 71 1447.0 5.0 574300.8
106 71 1447.0 5.0 574300.8
106 71 1447.0 5.0 574300.8
105 71 1566.0 6.0 1.18656576e+18
105 71 1566.0 6.0 1.18656576e+18
105 71 1566.0 6.0 1.18656576e+18
108 71 830.0 5.0 16524.0
108 71 830.0 5.0 16524.0
107 71 1100.0 4.0 1704.0
107 71 1100.0 4.0 1704.0
109 71 270.0 12.0 342.0
111 71 0.0 nan 120.0
110 71 350.0 24.0 210.0
100 71 2289.7 22.0 711936.0
100 71 2289.7 22.0 711936.0
113 71 -600.0 4.0 19.0
112 71 0.0 nan 58.0
115 71 -1300.0 6.0 -1
114 71 -900.0 6.0 -1
117 71 0.0 0.0 -1
117 71 0.0 0.0 -1
116 71 0.0 0.0 -1
116 71 0.0 0.0 -1
87 71 4790.0 5.0 10.6
87 71 4790.0 5.0 10.6
86 71 5108.0 3.0 6.8
86 71 5108.0 3.0 6.8
86 71 5108.0 3.0 6.8
89 71 4140.0 6.0 36.1
89 71 4140.0 6.0 36.1
89 71 4140.0 6.0 36.1
89 71 4140.0 6.0 36.1
88 71 4490.0 4.0 12.1
88 71 4490.0 4.0 12.1
83 71 4400.0 3.0 1.12
83 71 4400.0 3.0 1.12
82 71 3140.0 25.0 0.9
82 71 3140.0 25.0 0.9
85 71 5596.0 3.0 0.494
85 71 5596.0 3.0 0.494
85 71 5596.0 3.0 0.494
84 71 5801.6 22.0 0.068
84 71 5801.6 22.0 0.068
84 71 5801.6 22.0 0.068
84 71 5801.6 22.0 0.068
84 71 5801.6 22.0 0.068
81 71 2920.0 20.0 0.7
81 71 2920.0 20.0 0.7
80 71 3200.0 3.0 0.08059999999999999
80 71 3200.0 3.0 0.08059999999999999
98 71 2423.0 3.0 122616.00000000001
98 71 2423.0 3.0 122616.00000000001
97 71 2410.0 5.0 330.0
97 71 2410.0 5.0 330.0
97 71 2410.0 5.0 330.0
99 71 2155.0 20.0 173836.8
99 71 2155.0 20.0 173836.8
94 71 3030.0 4.0 644.4
93 71 3230.0 4.0 188.4
96 71 2780.0 4.0 3090.0
96 71 2780.0 4.0 3090.0
96 71 2780.0 4.0 3090.0
95 71 3030.0 4.0 159.0
95 71 3030.0 4.0 159.0
95 71 3030.0 4.0 159.0
95 71 3030.0 4.0 159.0
95 71 3030.0 4.0 159.0
90 71 3720.0 4.0 77.0
90 71 3720.0 4.0 77.0
92 71 3350.0 4.0 238.20000000000002
91 71 3450.0 8.0 82.2
91 71 3450.0 8.0 82.2
91 71 3450.0 8.0 82.2
79 71 3900.0 4.0 0.045
79 71 3900.0 4.0 0.045
89 72 4680.0 3.0 18.4
89 72 4680.0 3.0 18.4
87 72 5225.0 3.0 5.6
87 72 5225.0 3.0 5.6
88 72 4902.0 3.0 13.6
88 72 4902.0 3.0 13.6
85 72 5880.0 3.0 0.115
85 72 5880.0 3.0 0.115
86 72 5405.0 3.0 2.85
86 72 5405.0 3.0 2.85
83 72 4800.0 4.0 0.84
84 72 6026.0 3.0 0.023
84 72 6026.0 3.0 0.023
81 72 3600.0 4.0 -1
82 72 3700.0 4.0 2.0
82 72 3700.0 4.0 2.0
98 72 2910.0 3.0 57636.00000000001
99 72 2730.0 3.0 43560.0
99 72 2730.0 3.0 43560.0
99 72 2730.0 3.0 43560.0
96 72 3230.0 3.0 1557.0
97 72 3150.0 4.0 194.4
94 72 3540.0 3.0 406.2
95 72 3400.0 3.0 122.99999999999999
92 72 3920.0 17.0 111.0
93 72 3770.0 3.0 76.0
90 72 4416.0 5.0 39.4
90 72 4416.0 5.0 39.4
91 72 4140.0 3.0 40.0
91 72 4140.0 3.0 40.0
109 72 1158.5 14.0 3662496.0
109 72 1158.5 14.0 3662496.0
108 72 8009.0 5.0 -1.0
108 72 1286.9 14.0 -1.0
108 72 1286.9 14.0 -1.0
107 72 7414.1 21.0 -1.0
107 72 1807.6 14.0 -1.0
107 72 1807.6 14.0 -1.0
106 72 7340.4 8.0 -1.0
106 72 2084.2 14.0 -1.0
106 72 2084.2 14.0 -1.0
105 72 6787.4 8.0 -1.0
105 72 2245.6 14.0 -1.0
105 72 2245.6 14.0 -1.0
104 72 6699.7 9.0 -1.0
103 72 2400.1 23.0 6048000.0
102 72 2494.4 23.0 6.31152e+22
101 72 2540.0 3.0 84960.0
100 72 2753.0 24.0 59012712.0
110 72 1203.0 9.0 280862640000000.0
110 72 1203.0 9.0 280862640000000.0
110 72 1203.0 9.0 280862640000000.0
118 72 0.0 0.0 -1
117 72 -1100.0 6.0 -1
116 72 -700.0 6.0 -1
115 72 -400.0 4.0 2.7e-07
114 72 0.0 nan 156.0
113 72 300.0 3.0 210.0
112 72 800.0 3.0 14832.0
112 72 800.0 3.0 14832.0
111 72 930.0 20.0 3664.8
111 72 930.0 20.0 3664.8
88 73 5236.0 24.0 -1
88 73 5236.0 24.0 -1
88 73 5236.0 24.0 -1
88 73 5236.0 24.0 -1
89 73 5010.0 6.0 3.57
89 73 5010.0 6.0 3.57
86 73 5681.0 6.0 0.83
86 73 5681.0 6.0 0.83
86 73 5681.0 6.0 0.83
86 73 5681.0 6.0 0.83
87 73 5451.0 5.0 1.55
87 73 5451.0 5.0 1.55
87 73 260.0 6.0 1.55
84 73 6355.0 6.0 0.0101
84 73 6355.0 6.0 0.0101
84 73 6355.0 6.0 0.0101
84 73 6355.0 6.0 0.0101
85 73 6124.0 4.0 0.055
85 73 6124.0 4.0 0.055
85 73 6124.0 4.0 0.055
85 73 6124.0 4.0 0.055
82 73 3900.0 4.0 0.0029
83 73 5000.0 4.0 0.14400000000000002
83 73 5000.0 4.0 0.14400000000000002
83 73 5000.0 4.0 0.14400000000000002
83 73 5000.0 4.0 0.14400000000000002
99 73 3320.0 5.0 2208.0
97 73 3460.0 4.0 405.59999999999997
98 73 3380.0 5.0 1398.0
95 73 3820.0 4.0 120.0
96 73 3730.0 4.0 294.0
93 73 4310.0 8.0 34.4
94 73 4020.0 4.0 80.0
91 73 4560.0 6.0 14.2
92 73 4290.0 3.0 31.0
90 73 4749.0 5.0 10.6
90 73 4749.0 5.0 10.6
108 73 5948.6 19.0 -1.0
107 73 2023.8 23.0 29354.4
107 73 2023.8 23.0 29354.4
107 73 2023.8 23.0 29354.4
107 73 2023.8 23.0 29354.4
107 73 2023.8 23.0 29354.4
109 73 1482.0 3.0 9913536.0
109 73 1482.0 3.0 9913536.0
109 73 1482.0 3.0 9913536.0
104 73 2741.0 3.0 203616.0
103 73 2950.0 3.0 29124.0
106 73 2383.3 9.0 57434832.0
106 73 2383.3 9.0 57434832.0
106 73 2383.3 9.0 57434832.0
105 73 2550.0 5.0 558.6
105 73 2550.0 5.0 558.6
105 73 2550.0 5.0 558.6
105 73 2550.0 5.0 558.6
100 73 3260.0 3.0 11304.0
102 73 2990.0 3.0 37800.0
101 73 3140.0 3.0 4104.0
121 73 0.0 0.0 -1
121 73 0.0 0.0 -1
120 73 0.0 0.0 -1
120 73 0.0 0.0 -1
119 73 -1700.0 6.0 2.2
118 73 -1200.0 5.0 -1
115 73 0.0 nan 19.6
114 73 400.0 10.0 138.0
114 73 400.0 10.0 138.0
114 73 400.0 10.0 138.0
114 73 400.0 10.0 138.0
114 73 400.0 10.0 138.0
117 73 -800.0 4.0 5.3
116 73 -400.0 4.0 -1
111 73 1410.0 8.0 31319.999999999996
110 73 1341.0 5.0 440639.99999999994
113 73 740.0 21.0 630.0
113 73 740.0 21.0 630.0
112 73 980.0 13.0 2964.0
112 73 7180.0 4.0 2964.0
117 74 -600.0 21.0 -1
118 74 -1200.0 4.0 -1
119 74 -1500.0 4.0 -1
113 74 950.0 3.0 86400.0
114 74 410.0 4.0 6028992.0
115 74 0.0 nan 642.0
116 74 -370.0 6.0 1800.0
116 74 -370.0 6.0 1800.0
110 74 7700.9 15.0 -1.0
111 74 1590.2 16.0 6488639.999999999
111 74 1590.2 16.0 6488639.999999999
112 74 1116.0 6.0 -1
112 74 1116.0 6.0 -1
120 74 -2000.0 5.0 -1
121 74 0.0 0.0 -1
122 74 0.0 0.0 -1
123 74 0.0 0.0 -1
106 74 2515.3 10.0 2.0828016e+25
106 74 2515.3 10.0 2.0828016e+25
107 74 2221.9 4.0 10471680.0
108 74 7096.1 15.0 -1.0
109 74 1672.5 16.0 2.1143592e+28
109 74 1672.5 16.0 2.1143592e+28
102 74 3340.0 4.0 9000.0
103 74 3290.0 4.0 7920.0
104 74 3013.0 15.0 1866240.0000000002
105 74 2762.0 15.0 2223.0
105 74 2762.0 15.0 2223.0
105 74 2762.0 15.0 2223.0
100 74 3600.0 4.0 1992.0000000000002
101 74 3370.0 4.0 2112.0
89 74 5520.0 6.0 2.67
89 74 5520.0 6.0 2.67
88 74 5678.3 24.0 1.36
88 74 5678.3 24.0 1.36
87 74 5923.0 4.0 0.40900000000000003
87 74 5923.0 4.0 0.40900000000000003
86 74 6066.0 5.0 0.091
85 74 6451.0 4.0 0.0073
85 74 6451.0 4.0 0.0073
84 74 6612.0 3.0 0.00125
84 74 6612.0 3.0 0.00125
84 74 6612.0 3.0 0.00125
83 74 5200.0 5.0 0.275
99 74 3560.0 4.0 456.0
98 74 3840.0 4.0 396.0
97 74 3960.0 4.0 142.79999999999998
96 74 4140.0 3.0 145.2
95 74 4290.0 3.0 74.0
94 74 4501.0 11.0 50.9
94 74 4501.0 11.0 50.9
93 74 4750.0 3.0 19.9
93 74 4750.0 3.0 19.9
92 74 4856.0 4.0 19.2
92 74 4856.0 4.0 19.2
91 74 5030.0 3.0 5.1
91 74 5030.0 3.0 5.1
90 74 5278.3 20.0 6.3
90 74 5278.3 20.0 6.3
118 75 -700.0 20.0 -1
119 75 -1000.0 3.0 5.0
119 75 -1000.0 3.0 5.0
119 75 -1000.0 3.0 5.0
116 75 120.0 6.0 588.0
117 75 0.0 nan 16.0
110 75 5402.6 7.0 -1.0
111 75 2078.4 16.0 321287.04
111 75 2078.4 16.0 321287.04
111 75 2078.4 16.0 321287.04
114 75 990.0 16.0 87480.0
115 75 600.0 6.0 186.0
115 75 600.0 6.0 186.0
115 75 600.0 6.0 186.0
112 75 1652.1 17.0 1.36644408e+18
112 75 1652.1 17.0 1.36644408e+18
113 75 1400.0 3.0 61210.8
113 75 1400.0 3.0 61210.8
121 75 -1700.0 5.0 3.0
122 75 -2000.0 5.0 -1
120 75 -1500.0 4.0 6.0
123 75 -2300.0 6.0 -1
123 75 -2300.0 6.0 -1
124 75 0.0 0.0 -1
124 75 0.0 0.0 -1
107 75 2730.0 12.0 231120.0
107 75 2730.0 12.0 231120.0
108 75 2123.0 8.0 6048000.0
108 75 2123.0 8.0 6048000.0
108 75 2123.0 8.0 6048000.0
108 75 2123.0 8.0 6048000.0
105 75 3100.0 4.0 147.6
106 75 2772.0 13.0 71640.0
109 75 2289.0 5.0 3058560.0
109 75 2289.0 5.0 3058560.0
109 75 2289.0 5.0 3058560.0
100 75 4010.0 4.0 353.4
103 75 3660.0 4.0 792.0
104 75 3400.0 4.0 1170.0
104 75 3400.0 4.0 1170.0
101 75 3840.0 4.0 318.0
102 75 3700.0 4.0 840.0
89 75 5926.0 5.0 0.85
89 75 5926.0 5.0 0.85
89 75 5926.0 5.0 0.85
89 75 5926.0 5.0 0.85
88 75 6012.0 8.0 0.39
88 75 6012.0 8.0 0.39
88 75 6012.0 8.0 0.39
88 75 6012.0 8.0 0.39
87 75 6240.0 5.0 0.107
87 75 6240.0 5.0 0.107
87 75 6240.0 5.0 0.107
87 75 6240.0 5.0 0.107
86 75 6328.0 7.0 0.00044
86 75 6328.0 7.0 0.00044
86 75 6328.0 7.0 0.00044
86 75 6328.0 7.0 0.00044
85 75 6698.0 4.0 0.00082
85 75 6698.0 4.0 0.00082
84 75 -1600.0 5.0 -1
99 75 4040.0 4.0 144.0
98 75 4310.0 4.0 118.8
97 75 4400.0 5.0 55.0
97 75 4400.0 5.0 55.0
96 75 4680.0 4.0 15.2
95 75 4770.0 3.0 9.2
94 75 5014.0 13.0 8.1
94 75 5014.0 13.0 8.1
94 75 5014.0 13.0 8.1
94 75 5014.0 13.0 8.1
94 75 5014.0 13.0 8.1
93 75 5063.0 13.0 4.4
93 75 5063.0 13.0 4.4
92 75 5276.0 13.0 5.9
92 75 5276.0 13.0 5.9
92 75 5276.0 13.0 5.9
91 75 5520.0 6.0 2.25
91 75 5520.0 6.0 2.25
90 75 5694.0 6.0 1.6
90 75 5694.0 6.0 1.6
90 75 5694.0 6.0 1.6
90 75 5694.0 6.0 1.6
90 76 6143.0 3.0 0.20800000000000002
90 76 6143.0 3.0 0.20800000000000002
91 76 5980.0 6.0 0.81
91 76 5980.0 6.0 0.81
92 76 5816.0 3.0 2.1
92 76 5816.0 3.0 2.1
93 76 5713.0 3.0 3.43
93 76 5713.0 3.0 3.43
94 76 5537.0 3.0 7.37
94 76 5537.0 3.0 7.37
95 76 5371.0 4.0 8.3
95 76 5371.0 4.0 8.3
96 76 5224.0 7.0 19.2
96 76 5224.0 7.0 19.2
97 76 5055.0 6.0 22.4
97 76 5055.0 6.0 22.4
98 76 4871.0 10.0 44.0
98 76 4871.0 10.0 44.0
99 76 4560.0 3.0 84.0
85 76 7069.0 11.0 0.0006399999999999999
86 76 6768.0 3.0 0.0021000000000000003
