n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
12 15 -9832.0 9.0 0.26
11 15 -9700.0 4.0 0.0437
11 15 -9700.0 4.0 0.0437
11 15 -9700.0 4.0 0.0437
18 15 -10554.5 11.0 2190240.0
17 15 -9879.07 6.0 1232755.2
16 15 7296.553 22.0 -1.0
15 15 -10415.63 9.0 149.88000000000002
10 15 -9300.0 7.0 -1
19 15 -11109.5 21.0 12.43
9 15 0.0 0.0 -1
9 15 0.0 0.0 -1
33 16 -19100.0 8.0 -1
32 16 -19300.0 7.0 2.0000000000000002e-07
32 16 -19300.0 7.0 2.0000000000000002e-07
32 16 -19300.0 7.0 2.0000000000000002e-07
32 16 -19300.0 7.0 2.0000000000000002e-07
31 16 -19600.0 6.0 -1
31 16 -19600.0 6.0 -1
31 16 -19600.0 6.0 -1
31 16 -19600.0 6.0 -1
30 16 -18600.0 5.0 0.05
30 16 -18600.0 5.0 0.05
30 16 -18600.0 5.0 0.05
30 16 -18600.0 5.0 0.05
15 16 -9082.9 3.0 2.5534
14 16 -9343.17 23.0 1.178
13 16 -9347.0 16.0 0.188
13 16 -9347.0 16.0 0.188
12 16 -9100.0 16.0 0.125
12 16 -9100.0 16.0 0.125
19 16 -8322.09 6.0 7548768.0
18 16 10883.3 11.0 -1.0
17 16 9569.95 4.0 -1.0
16 16 8863.9638 14.0 -1.0
11 16 -8900.0 6.0 0.0155
11 16 -8900.0 6.0 0.0155
11 16 -8900.0 6.0 0.0155
10 16 -8400.0 8.0 -1
26 16 -15890.0 10.0 1.03
26 16 -15890.0 10.0 1.03
25 16 -14860.0 11.0 2.6
25 16 -14860.0 11.0 2.6
24 16 -12830.0 7.0 8.8
23 16 -11200.0 6.0 11.5
29 16 -19000.0 4.0 0.068
29 16 -19000.0 4.0 0.068
29 16 -19000.0 4.0 0.068
28 16 -17300.0 12.0 0.1
28 16 -17300.0 12.0 0.1
27 16 -16940.0 14.0 0.273
27 16 -16940.0 14.0 0.273
22 16 -9294.0 7.0 10218.0
21 16 -8807.0 7.0 303.0
20 16 13095.3 19.0 -1.0
28 17 -15710.0 18.0 0.4
28 17 -15710.0 18.0 0.4
29 17 -17250.0 14.0 0.232
29 17 -17250.0 14.0 0.232
29 17 -17250.0 14.0 0.232
24 17 -10740.0 8.0 38.4
25 17 -12640.0 9.0 6.8
26 17 -13810.0 13.0 3.1750000000000003
26 17 -13810.0 13.0 3.1750000000000003
27 17 -14760.0 12.0 0.65
27 17 -14760.0 12.0 0.65
20 17 8386.38 19.0 -1.0
21 17 -7674.3 8.0 2234.4
21 17 -7674.3 8.0 2234.4
22 17 -7367.0 3.0 3372.0
23 17 -9730.0 3.0 81.0
35 17 0.0 0.0 -1
31 17 -17800.0 6.0 2.0000000000000002e-07
31 17 -17800.0 6.0 2.0000000000000002e-07
31 17 -17800.0 6.0 2.0000000000000002e-07
31 17 -17800.0 6.0 2.0000000000000002e-07
32 17 -17600.0 6.0 1.7000000000000001e-07
32 17 -17600.0 6.0 1.7000000000000001e-07
32 17 -17600.0 6.0 1.7000000000000001e-07
32 17 -17600.0 6.0 1.7000000000000001e-07
33 17 -17600.0 6.0 -1
33 17 -17600.0 6.0 -1
33 17 -17600.0 6.0 -1
33 17 -17600.0 6.0 -1
34 17 -16900.0 9.0 -1
34 17 -16900.0 9.0 -1
34 17 -16900.0 9.0 -1
34 17 -16900.0 9.0 -1
30 17 -17000.0 4.0 0.101
30 17 -17000.0 4.0 0.101
30 17 -17000.0 4.0 0.101
17 17 -6664.15 8.0 1.5264
17 17 -6664.15 8.0 1.5264
17 17 -6664.15 8.0 1.5264
18 17 6370.81 4.0 -1.0
19 17 -7642.05 5.0 9498837600000.0
19 17 -7642.05 5.0 9498837600000.0
13 17 -8720.0 20.0 -1
14 17 -8800.0 10.0 0.19
14 17 -8800.0 10.0 0.19
15 17 -8611.8 13.0 0.298
15 17 -8611.8 13.0 0.298
15 17 -8611.8 13.0 0.298
16 17 -6475.4 5.0 2.511
11 17 -8200.0 7.0 -1
12 17 -8600.0 4.0 -1
36 18 0.0 0.0 -1
32 18 -16300.0 6.0 0.106
32 18 -16300.0 6.0 0.106
32 18 -16300.0 6.0 0.106
33 18 -16100.0 6.0 -1
33 18 -16100.0 6.0 -1
33 18 -16100.0 6.0 -1
33 18 -16100.0 6.0 -1
34 18 -16200.0 8.0 -1
34 18 -16200.0 8.0 -1
34 18 -16200.0 8.0 -1
34 18 -16200.0 8.0 -1
35 18 -16000.0 9.0 -1
35 18 -16000.0 9.0 -1
35 18 -16000.0 9.0 -1
35 18 -16000.0 9.0 -1
30 18 -15576.0 18.0 0.424
30 18 -15576.0 18.0 0.424
31 18 -16100.0 5.0 0.23600000000000002
31 18 -16100.0 5.0 0.23600000000000002
31 18 -16100.0 5.0 0.23600000000000002
18 18 8506.98 4.0 -1.0
19 18 -6786.74 21.0 3027456.0
14 18 -8700.0 16.0 0.098
14 18 -8700.0 16.0 0.098
15 18 -8715.0 13.0 0.17300000000000001
15 18 -8715.0 13.0 0.17300000000000001
16 18 -6743.95 22.0 0.8445
17 18 -6429.7 7.0 1.7756
11 18 -2400.0 4.0 -1
12 18 -8000.0 6.0 -1
13 18 -8600.0 4.0 0.014400000000000001
13 18 -8600.0 4.0 0.014400000000000001
13 18 -8600.0 4.0 0.014400000000000001
13 18 -8600.0 4.0 0.014400000000000001
13 18 -8600.0 4.0 0.014400000000000001
13 18 -8600.0 4.0 0.014400000000000001
29 18 -15597.0 5.0 1.23
29 18 -15597.0 5.0 1.23
25 18 -11270.0 5.0 322.2
26 18 -12260.0 4.0 712.1999999999999
27 18 -13187.0 4.0 21.48
28 18 -14558.0 4.0 8.4
21 18 -6821.0 5.0 8488994400.0
22 18 12528.7 17.0 -1.0
23 18 -8596.0 4.0 6576.6
24 18 -9986.0 9.0 1038245040.0
20 18 10242.25 20.0 -1.0
40 19 0.0 0.0 -1
27 19 -13010.0 6.0 105.0
26 19 -11730.0 7.0 1068.6
29 19 -14230.0 9.0 6.83
29 19 -14230.0 9.0 6.83
28 19 -13980.0 6.0 17.5
